date,volume,trades
2013-09-14,4001.03,1.0
2013-09-21,24500.92,3.0
2013-09-28,2499.57,1.0
2013-10-05,0.0,0.0
2013-10-12,8250.71,2.0
2013-10-19,3000.65,1.0
2013-10-26,0.0,0.0
2013-11-02,0.0,0.0
2013-11-09,25002.15,2.0
2013-11-16,15002.73,1.0
2013-11-23,0.0,0.0
2013-11-30,0.0,0.0
2013-12-07,73017.21,1.0
2013-12-14,39569.97,1.0
2013-12-21,38494.96,1.0
2013-12-28,11014.81,2.0
2014-01-04,0.0,0.0
2014-01-11,0.0,0.0
2014-01-18,54996.2,4.0
2014-01-25,0.0,0.0
2014-02-01,0.0,0.0
2014-02-08,0.0,0.0
2014-02-15,0.0,0.0
2014-02-22,0.0,0.0
2014-03-01,0.0,0.0
2014-03-08,33517.73,1.0
2014-03-15,10.64,1.0
2014-03-22,0.0,0.0
2014-03-29,40000.0,2.0
2014-04-05,0.0,0.0
2014-04-12,0.0,0.0
2014-04-19,0.0,0.0
2014-04-26,0.0,0.0
2014-05-03,0.0,0.0
2014-05-10,7972.76,1.0
2014-05-17,6497.52,1.0
2014-05-24,0.0,0.0
2014-05-31,0.0,0.0
2014-06-07,139863.05,5.0
2014-06-14,17565.12,2.0
2014-06-21,59602.49,1.0
2014-06-28,113637.01,2.0
2014-07-05,136882.42,5.0
2014-07-12,28619.34,3.0
2014-07-19,26898.83,3.0
2014-07-26,12650.14,2.0
2014-08-02,34324.32,2.0
2014-08-09,46725.29,3.0
2014-08-16,19322.46,3.0
2014-08-23,13000.0,1.0
2014-08-30,5572.39,1.0
2014-09-06,18316.59,2.0
2014-09-13,0.0,0.0
2014-09-20,48692.87,1.0
2014-09-27,0.0,0.0
2014-10-04,0.0,0.0
2014-10-11,0.0,0.0
2014-10-18,0.0,0.0
2014-10-25,0.0,0.0
2014-11-01,0.0,0.0
2014-11-08,0.0,0.0
2014-11-15,103446.0,5.0
2014-11-22,800265.0,17.0
2014-11-29,128953.78,2.0
2014-12-06,0.0,0.0
2014-12-13,10100.0,2.0
2014-12-20,17291.03,1.0
2014-12-27,0.0,0.0
2015-01-03,106163.58,2.0
2015-01-10,164966.03,1.0
2015-01-17,0.0,0.0
2015-01-24,0.0,0.0
2015-01-31,0.0,0.0
2015-02-07,30600.34,2.0
2015-02-14,397208.04,16.0
2015-02-21,326549.9,14.0
2015-02-28,1855173.32,22.0
2015-03-07,864602.63,7.0
2015-03-14,0.0,0.0
2015-03-21,215899.99,4.0
2015-03-28,191477.0,10.0
2015-04-04,691249.37,7.0
2015-04-11,311719.94,7.0
2015-04-18,103339.0,7.0
2015-04-25,10000.0,1.0
2015-05-02,5056.17,1.0
2015-05-09,55271.89,6.0
2015-05-16,22000.0,4.0
2015-05-23,193549.32,15.0
2015-05-30,111513.25,6.0
2015-06-06,76599.99,7.0
2015-06-13,518999.96,4.0
2015-06-20,83372.31,11.0
2015-06-27,57000.0,7.0
2015-07-04,336000.0,10.0
2015-07-11,11000.0,2.0
2015-07-18,188999.95,2.0
2015-07-25,56500.0,8.0
2015-08-01,124459.78,9.0
2015-08-08,244043.73,6.0
2015-08-15,149000.0,5.0
2015-08-22,1316442.97,8.0
2015-08-29,88569.22,7.0
2015-09-05,175750.45,7.0
2015-09-12,189648.99,17.0
2015-09-19,422154.44,14.0
2015-09-26,4997.54,1.0
2015-10-03,243044.36,6.0
2015-10-10,490158.45,10.0
2015-10-17,824000.0,7.0
2015-10-24,0.0,0.0
2015-10-31,0.0,0.0
2015-11-07,302000.01,4.0
2015-11-14,14000.0,2.0
2015-11-21,13500.0,3.0
2015-11-28,145123.75,5.0
2015-12-05,79500.0,2.0
2015-12-12,494980.2,7.0
2015-12-19,926239.83,9.0
2015-12-26,127908.93,3.0
2016-01-02,409685.62,11.0
2016-01-09,129809.61,4.0
2016-01-16,458286.88,4.0
2016-01-23,608761.5,15.0
2016-01-30,342419.07,9.0
2016-02-06,1028491.24,15.0
2016-02-13,2221565.34,20.0
2016-02-20,928777.28,22.0
2016-02-27,465032.84,21.0
2016-03-05,427991.39,15.0
2016-03-12,892765.71,20.0
2016-03-19,2350396.58,27.0
2016-03-26,1795479.03,22.0
2016-04-02,3108467.91,36.0
2016-04-09,2212775.09,39.0
2016-04-16,1614534.31,35.0
2016-04-23,3179914.78,44.0
2016-04-30,2302543.26,36.0
2016-05-07,1989338.05,31.0
2016-05-14,1991187.87,48.0
2016-05-21,5107274.84,73.0
2016-05-28,6759846.54,54.0
2016-06-04,6937110.2,66.0
2016-06-11,9856689.6,76.0
2016-06-18,8667588.06,62.0
2016-06-25,6964958.05,63.0
2016-07-02,8646875.62,81.0
2016-07-09,3613382.54,60.0
2016-07-16,2958128.89,71.0
2016-07-23,3615096.02,69.0
2016-07-30,5822826.5,94.0
2016-08-06,6643366.22,112.0
2016-08-13,9197229.87,111.0
2016-08-20,9122922.92,122.0
2016-08-27,9795610.43,98.0
2016-09-03,15459475.67,134.0
